ABBR,Long_Form,Num_Variants,Long_Form_Score,Count
GGT,gamma-glutamyl transpeptidase,408,0.7712,437
GTT,glucose tolerance test,208,0.9556,245
GVHD,graft-versus-host disease,3259,0.9877,3656
GVH,graft-versus-host,257,0.9467,313
HCG,human chorionic gonadotrophin,1368,0.917,1368
HCT,Hematopoietic cell transplantation,126,0.6988,126
HCTZ,hydrochlorothiazide,344,0.9077,344
HDL,high-density lipoprotein,2913,0.9824,6982
HELLP,elevated liver enzymes and low platelet,2,0.6411,2
HIT,heparin-induced thrombocytopenia,436,0.9054,436
HIV,human Immunodeficiency virus,16155,0.9813,16232
HLA,human leukocyte antigen,1336,0.9143,1565
HPV,human papillomavirus,4837,0.9889,5225
HSM,heparin-surface-modified,28,0.2213,28
HSV,herpes simplex virus,3866,0.9874,3944
ICA,internal carotid artery,1396,0.9866,1444
ICD,implantable cardioverter defibrillator,469,0.89,828
INH,isoniazid,640,0.7205,640
INR,international normalized ratio,724,0.9813,750
IOL,intraocular lenses,73,0.9147,73
ITP,idiopathic thrombocytopenic purpura,1091,0.6936,1091
IUD,intrauterine device,401,0.7053,470
IUGR,intrauterine growth retardation,849,0.8597,849
IUP,intrauterine pregnancy,52,0.8345,52
IVC,inferior vena cava,1134,0.9857,1134
IVF,vitro fertilization,1931,0.6537,1931
IVIG,intravenous immunoglobulin,895,0.9171,1076
IVP,intravenous pyelography,108,0.9047,108
JVP,jugular venous pressure,10,0.6794,10
LAD,left anterior descending coronary artery,1194,0.9743,1213
LDH,lactate dehydrogenase,4596,0.8254,4625
LDL,low-density lipoprotein,4577,0.9842,11035
LEEP,loop electrosurgical excision procedure,71,0.9579,71
LFT,liver function tests,45,0.8115,69
LIMA,left internal mammary artery,185,0.9741,185
LMP,latent membrane protein,156,0.8205,156
LVAD,left ventricular assist device,405,0.9804,444
LVEF,left ventricular ejection fraction,1355,0.9952,1380
LVH,left ventricular hypertrophy,1522,0.9911,1522
MAI,Mycobacterium avium-intracellulare,80,0.8336,116
MAPS,Multidimensional Affect and Pain Survey,10,0.7103,10
MCA,middle cerebral artery,2332,0.9817,2421
MCH,Melanin-concentrating hormone,327,0.79,327
MCP,metacarpophalangeal,219,0.2129,219
MCV,mean corpuscular volume,519,0.9692,525
MDI,metered dose inhaler,210,0.9626,457
MDS,myelodysplastic syndrome,1522,0.981,2640
MFM,myofibrillar myopathy,10,0.7103,10
MMF,Mycophenolate mofetil,890,0.9644,890
MOM,miocamycin,15,0.0344,15
MRA,magnetic resonance angiography,974,0.9795,974
MRCP,Magnetic resonance cholangiopancreatography,214,0.9859,214
MRI,magnetic resonance imaging,17515,0.9943,17528
MRSA,Methicillin-resistant Staphylococcus aureus,2241,0.8475,2241
MSSA,methicillin-sensitive Staphylococcus aureus,57,0.3468,57
MTP,microsomal triglyceride transfer protein,196,0.9847,196
MUGA,Multiple gated acquisition,11,0.5355,11
MVA,mitral valve area,127,0.9502,127
NAD,nicotinamide adenine dinucleotide,225,0.8493,225
NOS,nitric oxide synthase,4086,0.9909,4235
NPH,normal pressure hydrocephalus,218,0.9863,218
NPO,nucleus preopticus,30,0.9011,30
NSAID,nonsteroidal anti-inflammatory drug,381,0.4843,562
NST,nucleus of the solitary tract,142,0.9792,142
NTD,neural tube defects,244,0.9803,364
OCD,obsessive-compulsive disorder,1489,0.8233,1521
ODT,Oculodynamic Test,8,0.5006,8
OFC,orbitofrontal cortex,96,0.7804,96
ORIF,Open reduction and internal fixation,68,0.9408,68
OTC,over-the-counter,428,0.7433,464
PAC,pulmonary artery catheter,92,0.9479,99
PCA,principal component analysis,799,0.9508,1056
PCI,percutaneous coronary intervention,993,0.9812,1140
PCP,phencyclidine,1205,0.3185,1205
PCR,polymerase chain reaction,22403,0.9737,22636
PDA,patent ductus arteriosus,690,0.8829,690
PEEP,positive end-expiratory pressure,1106,0.982,1268
PEG,polyethylene glycol,1644,0.7117,1705
PET,Positron emission tomography,6894,0.9788,6909
PFO,patent foramen ovale,306,0.8951,306
PICC,peripherally inserted central catheter,43,0.8558,58
PIC,polymorphism information content,91,0.6518,91
PID,pelvic inflammatory disease,770,0.9859,779
PIH,pregnancy-induced hypertension,363,0.5434,363
PIP,proximal interphalangeal,197,0.9602,197
PKU,phenylketonuria,876,0.9347,876
PMD,Pelizaeus-Merzbacher disease,91,0.8291,91
PMI,postmortem interval,69,0.7238,69
PND,postnatal day,495,0.9275,656
PNT,pneumotachograph,9,0.065,9
PPD,purified protein derivative,864,0.9621,899
PPI,prepulse inhibition,451,0.9222,451
PPT,preprotachykinin,88,0.1139,88
PRN,paramedian reticular nucleus,29,0.8422,29
PSA,prostate-specific antigen,3496,0.8986,5403
PSVT,paroxysmal supraventricular tachycardia,166,0.9368,166
PTCA,percutaneous transluminal coronary angioplasty,2761,0.9829,2773
PTFE,polytetrafluoroethylene,1017,0.8174,1017
PTH,parathyroid hormone,4983,0.989,4992
PTSD,posttraumatic stress disorder,2115,0.6906,2125
PTT,protein truncation test,109,0.9726,109
PVC,polyvinyl chloride,430,0.7525,430
QHS,qinghaosu,9,0.2667,9
RAP,right atrial pressure,215,0.9779,215
RBC,red blood cell,2040,0.9876,3659
RCA,right coronary artery,570,0.9887,591
RDW,red cell distribution width,72,0.733,72
ROS,reactive oxygen species,6666,0.9888,6666
RPR,rapid plasma reagin,140,0.9654,140
RSV,respiratory syncytial virus,2286,0.9912,2298
RVR,renal vascular resistance,417,0.9619,429
RVSP,right ventricular systolic pressure,79,0.9622,79
SAB,spontaneous abortion,31,0.9043,31
SBE,subacute bacterial endocarditis,34,0.8245,34
SBP,systolic blood pressure,2388,0.957,2414
