metric,start_mean,start_max_abs,end_mean,end_median,end_max_abs,diff_mean,diff_median,diff_max_abs
A->C Indirect Effect,-0.0004889806111653646,-0.00017903645833333332,0.06490885416666667,-0.0010521729787190755,-0.0013956705729166667,0.07581583658854167,-0.0005631923675537108,-0.0010335286458333333,0.09843953450520834
C->A Indirect Effect,0.014134174585342408,0.014141845703125,0.04507242838541667,-0.006061343351999919,-0.006380208333333333,0.034590657552083334,-0.020195517937342325,-0.020263671875,0.03824869791666667
Bidrectional IE,-0.01462315519650777,-0.014225260416666666,0.10998128255208334,0.005009170373280842,0.005141194661458333,0.06964518229166666,0.01963232556978861,0.0189208984375,0.10345662434895833
A->C KL Divergence,0.0015501060925091365,0.001426245362834796,0.015520154185654656,0.0015858729751890607,0.0013580686835376258,0.07566038644115954,3.5766882679924415e-05,-6.401600871221754e-05,0.06711731203088493
C->A KL Divergence,0.0007016533218380314,0.0006957835741871539,0.001963295280001693,0.000654959949006808,0.0006548788649955965,0.001656320744756998,-4.669337283122331e-05,-4.689525234109835e-05,0.000626902328700448
A->A IE,0.014067149162292479,0.013983154296875,0.025252278645833334,-0.006184967358907064,-0.006510416666666667,0.0170166015625,-0.020252116521199542,-0.020194498697916667,0.03551839192708334
C->C IE,-8.71181488037109e-05,-0.0002685546875,0.012239583333333333,-0.0016343494256337483,-0.0017069498697916668,0.013250732421875,-0.0015472312768300377,-0.00159912109375,0.01584065755208333
