layer,head,patched_logit_difference,indirect_effect,normalized_restoration
10,4,2.978493088942308,0.0007023737980769234,0.009248822909675825
10,5,2.9837139423076926,0.005923227163461538,-0.02574869786545447
10,6,2.9825458233173077,0.0047551081730769235,-0.02605397336822298
10,7,2.9796762319711543,0.0018855168269230765,0.07195495990272215
10,8,2.9816594050480774,0.003868689903846154,-0.036293591839716345
10,9,2.9806415264423074,0.0028508112980769234,0.04979164255777723
10,10,2.978981370192308,0.0011906550480769234,-0.0015039296957025379
10,11,2.980476262019231,0.002685546875,0.0017366172903805317
10,12,2.973001802884615,-0.004788912259615385,0.019938985570760633
10,13,2.983909254807692,0.006118539663461538,0.0043169104506315436
10,14,2.9828350360576916,0.00504432091346154,0.05619469635930751
10,15,2.981452824519231,0.003662109374999999,0.04619505594399664
10,16,2.9841271033653842,0.006336388221153847,-0.0012312922737266795
10,17,2.977753155048077,-3.756009615384562e-05,0.06040531296647295
10,18,2.980821814903846,0.0030310997596153847,-0.04680319063526593
10,19,2.979578575721154,0.0017878605769230773,0.001196756787376906
10,20,2.9773099459134613,-0.0004807692307692312,0.10507459438964611
10,21,2.9821439302884616,0.0043532151442307685,-0.003168049265212293
10,22,2.977629206730769,-0.0001615084134615385,-0.03192475677747733
10,23,2.9763033353365382,-0.0014873798076923072,-0.001896843210079448
11,0,2.980412409855769,0.0026216947115384613,-0.01919590246381387
11,1,2.976724008413461,-0.0010667067307692302,0.04227615183184506
11,2,2.9813551682692316,0.0035644531250000003,-0.043577789775455726
11,3,2.9825157752403846,0.004725060096153846,-0.013780613981815664
11,4,2.978951322115385,0.0011606069711538464,0.012810416136264706
11,5,2.9772085336538456,-0.0005821814903846148,0.06028919866116112
11,6,2.9831204927884616,0.00532977764423077,0.03682841873169863
11,7,2.980754206730769,0.002963491586538462,-0.003298640297058423
11,8,2.973508864182693,-0.004281850961538462,0.07185499864450226
11,9,2.981550480769231,0.0037597656250000005,-0.0026570387679624376
11,10,2.9819185697115382,0.004127854567307692,0.025242189588799122
11,11,2.9824293870192307,0.004638671875000001,-0.024974827854396413
11,12,2.975146484375,-0.0026442307692307694,0.07078527241742136
11,13,2.978429236778846,0.0006385216346153846,0.09351623736387515
11,14,2.9808443509615383,0.0030536358173076923,0.003657476605565298
11,15,2.984127103365385,0.006336388221153845,-0.04567823498606701
11,16,2.9811485877403845,0.0033578725961538464,-0.0006372800857486621
11,17,2.982666015625,0.004875300480769231,-0.028952741048198505
11,18,2.978966346153846,0.0011756310096153846,0.03260979985952526
11,19,2.9798452524038463,0.002054537259615385,0.048021900306355225
11,20,2.9822340745192304,0.004443359375,-0.02764901343385541
11,21,2.982842548076923,0.005051832932692308,0.006495325694046867
11,22,2.9806340144230767,0.002843299278846154,-0.008526058012619403
11,23,2.9789776141826922,0.0011868990384615381,0.05198638149402591
12,0,2.983248197115384,0.005457481971153846,-0.051255523111207034
12,1,2.974921123798077,-0.002869591346153847,0.06839206230410017
12,2,2.9806865985576922,0.0028958834134615386,-0.017544567119380468
12,3,2.9743577223557693,-0.003432992788461538,0.07452293233551546
12,4,2.976596304086539,-0.0011944110576923076,0.06389972865208725
12,5,2.978973858173077,0.0011831430288461533,0.04004266217415015
12,6,2.9833045372596154,0.005513822115384616,0.03662312351656291
12,7,2.984566556490385,0.006775841346153846,0.03585926160198718
12,8,2.975668569711538,-0.0021221454326923075,0.06672459433733369
12,9,2.981358924278846,0.0035682091346153845,0.0011750923299494373
12,10,2.973245943509615,-0.004544771634615385,0.08262377136492818
12,11,2.9830115685096152,0.005220853365384615,0.015688410925933306
12,12,2.9836275540865382,0.005836838942307692,-0.00048150782313931165
12,13,2.9835637019230767,0.005772986778846154,-0.011573600985268257
12,14,2.979924128605769,0.0021334134615384618,0.022028697340509742
12,15,2.9758751502403844,-0.0019155649038461538,0.0349625634521554
12,16,2.975567157451924,-0.002223557692307692,0.08146101791843798
12,17,2.982046274038462,0.00425555889423077,0.023430797049416637
12,18,2.974387770432692,-0.003402944711538462,0.10242518090134316
12,19,2.9793795072115383,0.0015887920673076923,0.02712406651583068
12,20,2.9788198617788457,0.0010291466346153849,0.024231442718497847
12,21,2.9725585937499996,-0.00523212139423077,0.11863400729133655
12,22,2.984690504807692,0.006899789663461538,-0.008789922154874449
12,23,2.978282752403847,0.0004920372596153849,0.01379517236038889
13,0,2.9861778846153846,0.008387169471153845,-0.025469239769791038
13,1,2.974785907451923,-0.0030048076923076933,0.06745193630963284
