layer,head,ac_answer_logprob_diff_mean,ac_primary_lp_mean,ac_alt_lp_mean,ac_kl_div_mean,ac_normalized_mean,ac_ie_mean,ac_ie_median,ca_answer_logprob_diff_mean,ca_primary_lp_mean,ca_alt_lp_mean,ca_kl_div_mean,ca_normalized_mean,ca_ie_mean,ca_ie_median,aa_ie_mean,aa_ie_median,cc_ie_mean,cc_ie_median,ac_answer_logprob_diff_median,ca_answer_logprob_diff_median,bidirectional_ie_mean,bidirectional_ie_median,p_ac_ie_gt_zero,p_ca_ie_lt_zero,p_bidirectional_ie_gt_zero,bidirectional_ie_bootstrap_ci_2_5,bidirectional_ie_bootstrap_ci_97_5,bootstrap_resamples
0,0,-0.0012349446614583334,-1.4642252604166666,-1.4629903157552084,0.002076661127596796,-0.006575960076153449,-0.005857340494791667,-0.0068359375,2.82418212890625,-0.8741414388020833,-3.6983235677083335,0.0006927228842681699,0.0022780009426270416,-0.008382161458333334,-0.005859375,-0.0057942708333333336,-0.0013427734375,-0.005448404947916667,-0.001953125,0.5,2.65625,0.0025248209635416667,0.0086669921875,0.4666666666666667,0.6666666666666666,0.6,-0.013371734619140624,0.018176422119140622,5000
0,1,0.004988606770833333,-1.45830078125,-1.4632893880208333,0.002322134454709777,-0.009149387870851218,0.0003662109375,0.01171875,2.83409423828125,-0.8727091471354167,-3.706803385416667,0.0007754137264621974,0.000221403025517702,0.0015299479166666667,0.001953125,-0.0086181640625,-0.00390625,-0.002467854817708333,-0.0068359375,0.5390625,2.65625,-0.0011637369791666667,0.012451171875,0.5333333333333333,0.3333333333333333,0.5333333333333333,-0.01608174641927083,0.011914876302083321,5000
0,2,-0.001580810546875,-1.45029296875,-1.448712158203125,0.007002675961931988,-0.009378567977377381,-0.006203206380208334,-0.0498046875,2.833451334635417,-0.86907958984375,-3.702530924479167,0.0008577924339751941,-0.0025968514785835984,0.0008870442708333333,0.0,-0.008964029947916667,-0.001708984375,2.8483072916666667e-05,0.0,0.4765625,2.73046875,-0.007090250651041667,-0.04931640625,0.3333333333333333,0.4,0.4,-0.04979436238606771,0.042410278320312425,5000
0,3,0.032999674479166664,-1.4430989583333333,-1.4760986328125,0.008429513853873857,0.016809279743336736,0.028377278645833334,0.015625,2.8368408203125,-0.8707275390625,-3.707568359375,0.001157517081563077,-0.0017791014345526753,0.0042765299479166664,0.0,-0.0038859049479166665,-0.00390625,0.0047648111979166664,0.0107421875,0.56640625,2.6640625,0.024100748697916667,0.0159912109375,0.7333333333333333,0.4,0.7333333333333333,-0.006461588541666666,0.05500203450520826,5000
0,4,0.005999755859375,-1.4580078125,-1.464007568359375,0.001170310976510164,0.0005044002627092941,0.0013773600260416667,0.0,2.83046875,-0.8793131510416666,-3.7097819010416666,0.0006589167988335878,0.003760264285178929,-0.0020955403645833335,-0.00390625,-0.00057373046875,0.0,-0.0033650716145833333,-0.01171875,0.546875,2.6796875,0.003472900390625,0.01422119140625,0.4666666666666667,0.5333333333333333,0.6666666666666666,-0.013491617838541666,0.018561096191406248,5000
0,5,0.00050048828125,-1.4650716145833333,-1.4655721028645834,0.0015799832899821454,-0.007580521678122812,-0.004121907552083333,0.0,2.8276326497395834,-0.8717488606770833,-3.6993815104166665,0.0007652896659788888,0.004301262049526627,-0.004931640625,-0.0078125,-0.00091552734375,-0.00811767578125,0.00369873046875,0.013671875,0.5,2.6796875,0.0008097330729166667,0.00494384765625,0.4666666666666667,0.6,0.6666666666666666,-0.013249003092447916,0.013725891113281234,5000
0,6,0.008347574869791667,-1.4611328125,-1.4694803873697917,0.005884368294701678,-0.007135935613557709,0.0037251790364583332,0.0,2.8393880208333333,-0.866259765625,-3.7056477864583335,0.0009139431185736351,-0.00923355911767171,0.00682373046875,0.0078125,-0.007100423177083333,-0.0078125,0.0006144205729166667,0.0,0.54296875,2.65625,-0.0030985514322916666,-0.005615234375,0.4666666666666667,0.4,0.4,-0.03599873860677083,0.035779012044270836,5000
0,7,0.0048258463541666664,-1.4580729166666666,-1.4628987630208334,0.0019520161617009736,0.0052839009327398994,0.00020345052083333334,-0.00537109375,2.8287068684895833,-0.8732218424479167,-3.7019287109375,0.0009138048114265444,0.005550925652987937,-0.003857421875,-0.003173828125,-0.00994873046875,-0.01171875,-0.00159912109375,0.0,0.51171875,2.65625,0.004060872395833333,-0.0078125,0.4,0.5333333333333333,0.4,-0.013167317708333333,0.02202168782552083,5000
0,8,0.009806315104166666,-1.4566080729166666,-1.4664143880208333,0.001515695100906295,-0.0002480192147851663,0.0051839192708333336,0.005859375,2.8359619140625,-0.8717936197916667,-3.707755533854167,0.0007619654704244344,-0.0020205850772943785,0.0033976236979166665,0.0,-0.0023640950520833334,-0.001953125,0.0005818684895833333,0.00390625,0.55078125,2.6640625,0.0017862955729166666,0.0,0.6666666666666666,0.3333333333333333,0.4666666666666667,-0.0087890625,0.011957194010416632,5000
0,9,0.008577473958333333,-1.457421875,-1.4659993489583334,0.0013956243148988436,0.0002646176095590483,0.003955078125,0.001953125,2.83236083984375,-0.8753865559895834,-3.707747395833333,0.0007706271762916671,0.0036308173093341496,-0.00020345052083333334,0.0,-0.00496826171875,0.0,0.005859375,0.008056640625,0.53125,2.671875,0.004158528645833334,0.0078125,0.5333333333333333,0.4666666666666667,0.5333333333333333,-0.010506795247395832,0.019930419921874994,5000
