ABBR,layer,head,patched_logit_difference,indirect_effect,normalized_restoration,c_to_b_patched_logit_difference,c_to_b_indirect_effect,c_to_b_normalized_restoration,indirect_effect_difference_a_minus_c,count,c_to_b_count
AAA,3,16,4.68203125,0.009765625,0.011011753620449266,4.6693359375,-0.0029296875,-0.0010152151000564712,0.0126953125,5,5
AAA,3,17,4.70078125,0.028515625,-0.0019904048164917764,4.6919921875,0.0197265625,-0.006792587876339731,0.0087890625,5,5
AAA,3,18,4.690234375,0.01796875,-0.08167858189597321,4.6935546875,0.0212890625,-0.005640863612067638,-0.003320312500000002,5,5
AAA,3,19,4.68828125,0.016015625,-0.1701021696673871,4.70859375,0.036328125,-0.013033950835245004,-0.020312500000000004,5,5
AAA,3,20,4.6974609375,0.0251953125,0.02317134099742795,4.6787109375,0.0064453125,-0.0030360718056002423,0.018750000000000003,5,5
AAA,3,21,4.6994140625,0.0271484375,0.10149953845606019,4.6720703125,-0.0001953125,-0.00022489557184192081,0.02734375,5,5
AAA,3,22,4.6951171875,0.0228515625,0.2262586316934143,4.6826171875,0.0103515625,-0.005754300826112821,0.012499999999999999,5,5
AAA,3,23,4.6775390625,0.0052734375,-0.4568529003311613,4.67109375,-0.001171875,0.0014509951571237004,0.0064453125000000005,5,5
AAA,3,24,4.6595703125,-0.0126953125,-0.27790283746805483,4.6751953125,0.0029296875,-0.0019635770971713215,-0.015625,5,5
AAA,3,25,4.6681640625,-0.0041015625,-0.20569689026210763,4.6857421875,0.0134765625,-0.004292495658606664,-0.017578125,5,5
AAA,3,26,4.6810546875,0.0087890625,-0.12756755387190172,4.687890625,0.015625,-0.0051484985386563,-0.0068359375,5,5
AAA,3,27,4.691015625,0.01875,0.04202880746359007,4.687109375,0.01484375,-0.006913110757154256,0.00390625,5,5
AAA,3,28,4.6765625,0.004296875,-0.017706578576143793,4.6841796875,0.0119140625,-0.0028919340179078025,-0.007617187499999999,5,5
AAA,3,29,4.688671875,0.01640625,-0.15799663908359562,4.671484375,-0.00078125,-0.0016582322112737903,0.0171875,5,5
AAA,3,30,4.68671875,0.014453125,-0.22302222258743995,4.696484375,0.02421875,-0.009106635115543455,-0.009765625,5,5
AAA,3,31,4.6693359375,-0.0029296875,-0.08722721657504265,4.686328125,0.0140625,-0.004441583249969898,-0.0169921875,5,5
AAA,4,0,4.6818359375,0.0095703125,-0.0005544690327299026,4.6736328125,0.0013671875,-0.0005038989963129917,0.008203125,5,5
AAA,4,1,4.6751953125,0.0029296875,-0.15537117993639735,4.658203125,-0.0140625,0.0019754109660429756,0.0169921875,5,5
AAA,4,2,4.68671875,0.014453125,-0.12451639234247931,4.690625,0.018359375,-0.00575951880012531,-0.00390625,5,5
AAA,4,3,4.69375,0.021484375,0.04201801527888484,4.6740234375,0.0017578125,0.0012013093501416498,0.0197265625,5,5
AAA,4,4,4.682421875,0.01015625,0.1536381440729267,4.68046875,0.008203125,-0.004036844734068118,0.001953125,5,5
AAA,4,5,4.66484375,-0.007421875,-0.410987430117865,4.6841796875,0.0119140625,-0.0028031164060666057,-0.019335937499999997,5,5
AAA,4,6,4.676953125,0.0046875,-0.02428585319889668,4.6775390625,0.0052734375,-0.004945958609272506,-0.0005859375000000005,5,5
AAA,4,7,4.6693359375,-0.0029296875,-0.07193189693189693,4.68671875,0.014453125,-0.006457337884968731,-0.0173828125,5,5
AAA,4,8,4.6919921875,0.0197265625,0.03814846923542576,4.6802734375,0.0080078125,-0.002705074478791889,0.01171875,5,5
AAA,4,9,4.68515625,0.012890625,0.019396897657767222,4.7064453125,0.0341796875,-0.011337968264542907,-0.0212890625,5,5
AAA,4,10,4.6791015625,0.0068359375,-0.1924352537396016,4.6822265625,0.0099609375,-0.003875052263197839,-0.0031249999999999993,5,5
AAA,4,11,4.680078125,0.0078125,-0.15122711796624838,4.6748046875,0.0025390625,-0.0011428701942953247,0.0052734375,5,5
AAA,4,12,4.6841796875,0.0119140625,-0.1455199422590727,4.6875,0.015234375,-0.004332912023109367,-0.0033203125000000003,5,5
AAA,4,13,4.68515625,0.012890625,-0.11474321996061125,4.676171875,0.00390625,-0.0026002777307706287,0.008984375,5,5
AAA,4,14,4.674609375,0.00234375,-0.3307915547045982,4.677734375,0.00546875,-7.604622916753461e-05,-0.0031249999999999997,5,5
AAA,4,15,4.690234375,0.01796875,0.00137683898553463,4.6919921875,0.0197265625,-0.006827676792646628,-0.0017578125000000007,5,5
AAA,4,16,4.6611328125,-0.0111328125,-0.4224011515315863,4.675390625,0.003125,-0.0014729750373312879,-0.014257812500000001,5,5
AAA,4,17,4.6880859375,0.0158203125,0.04814504531895836,4.6845703125,0.0123046875,-0.0032883596490947504,0.0035156249999999997,5,5
AAA,4,18,4.69609375,0.023828125,-0.008611916872786446,4.69140625,0.019140625,-0.004412816581705793,0.004687499999999997,5,5
AAA,4,19,4.6921875,0.019921875,-0.12152636826549872,4.6693359375,-0.0029296875,0.0004681603699606046,0.0228515625,5,5
AAA,4,20,4.6837890625,0.0115234375,0.059607194607194616,4.6748046875,0.0025390625,-0.0006452637201094811,0.008984375000000001,5,5
AAA,4,21,4.703515625,0.03125,0.26551428594906856,4.6984375,0.026171875,-0.006011413463321543,0.005078124999999999,5,5
AAA,4,22,4.6736328125,0.0013671875,-0.20107079563601302,4.693359375,0.02109375,-0.006530512264581673,-0.019726562500000003,5,5
AAA,4,23,4.6779296875,0.0056640625,-0.17754125819343208,4.698046875,0.02578125,-0.008201927432302141,-0.020117187499999998,5,5
AAA,4,24,4.6787109375,0.0064453125,-0.23729312011920714,4.7015625,0.029296875,-0.007529968160362802,-0.0228515625,5,5
AAA,4,25,4.68203125,0.009765625,-0.20742703634007986,4.6890625,0.016796875,-0.004293994995209717,-0.007031249999999999,5,5
AAA,4,26,4.6765625,0.004296875,-0.17270549661854012,4.68671875,0.014453125,-0.005131477690325159,-0.01015625,5,5
AAA,4,27,4.6703125,-0.001953125,-0.33692960975569675,4.6818359375,0.0095703125,-0.0009463553934138471,-0.0115234375,5,5
AAA,4,28,4.676953125,0.0046875,0.0036631112718069183,4.685546875,0.01328125,-0.004741005368662042,-0.00859375,5,5
AAA,4,29,4.68828125,0.016015625,0.016704274965144532,4.6966796875,0.0244140625,-0.009013096039683501,-0.008398437500000001,5,5
AAA,4,30,4.687109375,0.01484375,-0.029261516000646436,4.6876953125,0.0154296875,-0.005113266763089387,-0.0005859375000000014,5,5
AAA,4,31,4.673046875,0.00078125,0.02131600283774197,4.679296875,0.00703125,-0.0031971548706612647,-0.00625,5,5
AAA,5,0,4.6966796875,0.0244140625,-0.014249984249984252,4.67421875,0.001953125,-0.002029991329338162,0.0224609375,5,5
AAA,5,1,4.6759765625,0.0037109375,-0.1564233631624936,4.6787109375,0.0064453125,-0.0030852952139737476,-0.002734375,5,5
AAA,5,2,4.6802734375,0.0080078125,-0.03167841754798277,4.6830078125,0.0107421875,-0.004333306777528539,-0.0027343750000000007,5,5
AAA,5,3,4.6888671875,0.0166015625,0.0027504320982581773,4.672265625,0.0,-0.0005345670315654565,0.0166015625,5,5
AAA,5,4,4.6740234375,0.0017578125,0.0337296174252696,4.683203125,0.0109375,-0.004113930125838824,-0.009179687499999999,5,5
AAA,5,5,4.6884765625,0.0162109375,-0.11561055278446582,4.68828125,0.016015625,-0.007156052605881874,0.00019531250000000278,5,5
AAA,5,6,4.6818359375,0.0095703125,-0.1652512469903774,4.682421875,0.01015625,-0.005466017982676555,-0.0005859374999999997,5,5
AAA,5,7,4.7044921875,0.0322265625,-0.15363599385338517,4.6994140625,0.0271484375,-0.009258538703518907,0.005078124999999999,5,5
AAA,5,8,4.6859375,0.013671875,-0.15902003402003403,4.70234375,0.030078125,-0.009665075188134049,-0.01640625,5,5
AAA,5,9,4.705078125,0.0328125,0.06811576398532919,4.7095703125,0.0373046875,-0.011603246995219307,-0.004492187500000001,5,5
AAA,5,10,4.68359375,0.011328125,0.021496895192547365,4.6830078125,0.0107421875,-0.005553265935177319,0.0005859374999999997,5,5
