ABBR,layer,patched_logit_difference,indirect_effect,normalized_restoration,count
ABR,27,1.00234375,0.0001953125,-0.0026967643545692172,5
ABR,28,1.026171875,0.0240234375,0.04539581652599246,5
ABR,29,1.0236328125,0.021484375,0.05578890533534057,5
ABR,30,1.0041015625,0.001953125,0.006281796062817961,5
ABR,31,1.0140625,0.0119140625,0.02884105567317246,5
ACE,0,2.299609375,-0.035546875,0.6936160058923199,5
ACE,1,2.351953125,0.016796875,-0.25506616190027315,5
ACE,2,2.291015625,-0.044140625,1.3648358185926792,5
ACE,3,2.3640625,0.02890625,-0.5650449272497834,5
ACE,4,2.33203125,-0.003125,-0.09690067578106742,5
ACE,5,2.341015625,0.005859375,-0.3372255642442497,5
ACE,6,2.31796875,-0.0171875,0.3233551310877874,5
ACE,7,2.339453125,0.004296875,-0.30042711435684233,5
ACE,8,2.31875,-0.01640625,0.20846818265515904,5
ACE,9,2.300390625,-0.034765625,0.4658100166059359,5
ACE,10,2.325390625,-0.009765625,0.24390620152026807,5
ACE,11,2.320703125,-0.014453125,0.2868499175897348,5
ACE,12,2.323828125,-0.011328125,0.0030526429003007506,5
ACE,13,2.3234375,-0.01171875,0.10873745897083745,5
ACE,14,2.336328125,0.001171875,0.09893542380049,5
ACE,15,2.31328125,-0.021875,0.27123020196849884,5
ACE,16,2.339453125,0.004296875,0.043803209805216715,5
ACE,17,2.321875,-0.01328125,0.2326617192352373,5
ACE,18,2.331640625,-0.003515625,0.09674247172232667,5
ACE,19,2.323046875,-0.012109375,0.3110373444918014,5
ACE,20,2.33046875,-0.0046875,0.10229205837586175,5
ACE,21,2.319140625,-0.016015625,0.10271979214706477,5
ACE,22,2.31640625,-0.01875,0.3627021332067476,5
ACE,23,2.3140625,-0.02109375,0.17388543424606853,5
ACE,24,2.307421875,-0.027734375,0.1553937757866422,5
ACE,25,2.330078125,-0.005078125,0.07909935462654664,5
ACE,26,2.312890625,-0.022265625,0.15255117066498639,5
ACE,27,2.32265625,-0.0125,0.1510649140618885,5
ACE,28,2.314453125,-0.020703125,0.3665579594463787,5
ACE,29,2.315234375,-0.019921875,0.25295193175630437,5
ACE,30,2.3125,-0.02265625,0.2471496521988365,5
ACE,31,2.31484375,-0.0203125,0.24908357645346987,5
ACL,0,2.4587890625,-0.0451171875,-0.010438497261252677,5
ACL,1,2.47109375,-0.0328125,0.10704121729663525,5
ACL,2,2.48671875,-0.0171875,0.044969607276108825,5
ACL,3,2.504296875,0.000390625,0.013111199945565272,5
ACL,4,2.5259765625,0.0220703125,-0.1328810998083444,5
ACL,5,2.509765625,0.005859375,-0.05863771419498973,5
ACL,6,2.490625,-0.01328125,0.01337415938035133,5
ACL,7,2.50390625,0.0,0.008405147484094846,5
ACL,8,2.561328125,0.057421875,-0.2504356479433879,5
ACL,9,2.5138671875,0.0099609375,-0.11397801630773767,5
ACL,10,2.53203125,0.028125,-0.17285595209743818,5
ACL,11,2.5080078125,0.0041015625,-0.03545518207282913,5
ACL,12,2.5126953125,0.0087890625,-0.05411220358588779,5
ACL,13,2.52421875,0.0203125,-0.129156346749226,5
ACL,14,2.526953125,0.023046875,-0.12240437065514465,5
ACL,15,2.51171875,0.0078125,-0.055924426450742235,5
ACL,16,2.50703125,0.003125,-0.009446693657219975,5
ACL,17,2.52421875,0.0203125,-0.10169881717869333,5
ACL,18,2.50078125,-0.003125,-0.012199730094466937,5
ACL,19,2.507421875,0.003515625,-0.03154038943512628,5
ACL,20,2.521875,0.01796875,-0.09867360709465971,5
ACL,21,2.5150390625,0.0111328125,-0.0746498032411345,5
ACL,22,2.511328125,0.007421875,-0.0581392395014686,5
ACL,23,2.5109375,0.00703125,-0.06843103233196113,5
ACL,24,2.5140625,0.01015625,-0.06191632928475034,5
ACL,25,2.501953125,-0.001953125,-0.029743589743589743,5
ACL,26,2.5171875,0.01328125,-0.08464849907574365,5
ACL,27,2.511328125,0.007421875,-0.054011952959321374,5
ACL,28,2.51484375,0.0109375,-0.05813379602853286,5
ACL,29,2.510546875,0.006640625,-0.06645845382687487,5
ACL,30,2.517578125,0.013671875,-0.0866782340466551,5
ACL,31,2.51171875,0.0078125,-0.06455638530715929,5
ADA,0,2.4123046875,-0.41015625,-1.13159290190567,5
ADA,1,2.987890625,0.1654296875,0.26870697302596247,5
ADA,2,2.644921875,-0.1775390625,-0.7603817151577215,5
ADA,3,2.8267578125,0.004296875,-0.0177988534282174,5
ADA,4,2.669140625,-0.1533203125,-0.6094651815831172,5
ADA,5,2.7078125,-0.1146484375,-0.5889344651881184,5
ADA,6,2.655078125,-0.1673828125,-0.4330988593553012,5
ADA,7,2.7529296875,-0.06953125,-0.213837796629746,5
ADA,8,2.655859375,-0.1666015625,-0.554988290124122,5
ADA,9,2.77578125,-0.0466796875,-0.21581396677837858,5
ADA,10,2.8302734375,0.0078125,0.06094362344481038,5
ADA,11,2.811328125,-0.0111328125,-0.034722877766760384,5
ADA,12,2.85390625,0.0314453125,0.025697802332590326,5
ADA,13,2.8490234375,0.0265625,0.043586971261265636,5
ADA,14,2.8328125,0.0103515625,-0.07536172460064641,5
ADA,15,2.86796875,0.0455078125,0.15060200331607093,5
ADA,16,2.8482421875,0.02578125,0.0051416863570928565,5
ADA,17,2.8236328125,0.001171875,0.017549395068803094,5
ADA,18,2.8572265625,0.034765625,0.03296893383618926,5
