ABBR,sentence_a,sentence_b,sentence_c,total_effect_a_minus_b,row_count
MDS,4.82607421875,4.8578125,0.708984375,-0.03173828125,5
MMF,2.49287109375,2.43291015625,0.1458984375,0.059960937499999645,5
MRA,1.0546875,0.966015625,0.19609375,0.08867187499999996,5
MRCP,0.456298828125,0.3203125,0.0126953125,0.135986328125,5
MRSA,0.684375,0.4697265625,0.4423828125,0.21464843749999996,5
MTP,2.5025390625,1.8369140625,-0.5640625,0.6656249999999999,5
MVA,3.46171875,2.2015625,-3.47841796875,1.26015625,5
NOS,3.0404296875,2.787890625,1.126171875,0.2525390624999999,5
NPH,2.4140625,2.177734375,0.0703125,0.236328125,5
NST,5.589453125,6.09375,-1.6796875,-0.5042968749999996,5
NTD,2.865625,2.7765625,-0.300390625,0.08906250000000027,5
OCD,1.3916015625,1.287890625,-1.00712890625,0.10371093750000004,5
OTC,1.296484375,1.1609375,-0.145703125,0.13554687499999996,5
PAC,5.369921875,5.441015625,0.2265625,-0.07109375000000018,5
PCA,2.117578125,1.85546875,-0.122265625,0.2621093750000001,5
PCI,1.842578125,1.876171875,0.223046875,-0.03359375000000009,5
PCR,2.6685546875,2.54296875,0.59609375,0.1255859374999999,5
PDA,3.85078125,3.8,0.012890625,0.05078125,5
PEG,1.266796875,1.455859375,-0.3421875,-0.1890624999999999,5
PET,1.71904296875,1.7548828125,-0.503271484375,-0.035839843750000044,5
PFO,2.1109375,2.49765625,0.4140625,-0.38671875,5
PIC,3.2265625,2.21640625,-0.977734375,1.01015625,5
PID,3.8453125,3.87421875,-0.0671875,-0.02890624999999991,5
PIH,0.7640625,0.4609375,-2.72890625,0.303125,5
PIP,3.369921875,3.43515625,0.046875,-0.06523437499999973,5
PMD,3.00439453125,2.66787109375,-0.128515625,0.3365234374999999,5
PMI,2.42890625,2.174609375,-0.58203125,0.25429687499999964,5
PND,6.3640625,6.91171875,2.0234375,-0.5476562500000002,5
PPI,4.90859375,4.755078125,-0.066015625,0.15351562499999982,5
PRN,3.265625,2.57421875,-2.0,0.69140625,5
PSA,3.671484375,3.44375,0.653515625,0.22773437499999982,5
PTH,4.5359375,4.413671875,1.5578125,0.12226562499999982,5
PTSD,0.4328125,-0.075390625,-0.6552734375,0.508203125,5
PVC,2.928515625,2.86171875,0.18984375,0.06679687500000009,5
RAP,5.0896484375,4.445703125,0.1328125,0.6439453125000005,5
RBC,1.55078125,1.52109375,-0.265234375,0.02968750000000009,5
RCA,1.553515625,1.3234375,-0.9185546875,0.2300781249999999,5
ROS,5.431640625,5.24609375,0.957421875,0.185546875,5
RSV,1.75625,1.42734375,-0.84462890625,0.3289062500000002,5
SAB,0.171875,-0.846875,-4.94208984375,1.01875,5
SBP,2.2236328125,2.330859375,-0.965625,-0.10722656250000018,5
SLE,3.141015625,2.909375,1.514453125,0.23164062500000027,5
SMA,2.0123046875,2.2484375,0.433203125,-0.23613281250000018,5
STD,4.4755859375,4.6203125,-0.074609375,-0.14472656249999982,5
TBI,2.964453125,2.729296875,-1.13828125,0.23515624999999973,5
TEE,3.96435546875,4.34296875,1.766796875,-0.3786132812499998,5
TIPS,0.623876953125,0.38115234375,-0.010546875,0.242724609375,5
TPA,0.230859375,0.146484375,-0.2919921875,0.084375,5
TSH,0.9671875,0.626953125,0.24375,0.340234375,5
TTP,5.884375,6.334765625,1.03671875,-0.4503906249999998,5
VAC,3.6875,3.29375,-0.9984375,0.3937499999999998,5
VAD,3.71328125,3.544140625,-1.6875,0.16914062500000027,5
VATS,0.5404296875,0.01953125,-0.5759765625,0.5208984375,5
VBAC,0.71728515625,0.6048828125,0.2326171875,0.11240234375000002,5
