ABBR,layer,head,ac_answer_logprob_diff,ac_primary_lp,ac_alt_lp,ac_kl_div,ac_normalized,ac_ie,ca_answer_logprob_diff,ca_primary_lp,ca_alt_lp,ca_kl_div,ca_normalized,ca_ie,aa_ie,cc_ie,bidirectional_ie,ac_count,ca_count,bie_count
AAA,0,21,1.5390625,-0.59375,-2.1328125,0.003618074383488075,0.010470388271714284,0.029296875,5.8896484375,-0.3603515625,-6.25,0.00040966040286548506,-0.0032003104149269093,0.0078125,0.0166015625,0.017578125,0.021484375,2,2,2
AAA,0,22,1.54296875,-0.59375,-2.13671875,0.002876594607905504,0.009446356420443522,0.033203125,5.8837890625,-0.3505859375,-6.234375,0.0016701630336469128,-0.0024401945154406118,0.001953125,0.0166015625,0.013671875,0.03125,2,2,2
AAA,0,23,1.5546875,-0.58984375,-2.14453125,0.004496870680017927,0.012934728513466777,0.044921875,5.8984375,-0.3515625,-6.25,9.592970958705579e-05,-0.0030830612985128765,0.0166015625,0.0087890625,0.021484375,0.0283203125,2,2,2
AAA,0,24,1.4140625,-0.6328125,-2.046875,0.005425304693263789,-0.026301549544078078,-0.095703125,5.8486328125,-0.3232421875,-6.171875,0.00927648492942414,0.00212050088147717,-0.033203125,0.0166015625,0.025390625,-0.0625,2,2,2
AAA,0,25,1.5703125,-0.5859375,-2.15625,0.0026503165357514968,0.014524339735641201,0.060546875,5.875,-0.359375,-6.234375,0.0010228384692578176,0.0010508135739049017,-0.0068359375,0.0166015625,0.060546875,0.0673828125,2,2,2
AAA,0,26,1.64453125,-0.578125,-2.22265625,0.004315070499324024,0.03311844691314287,0.134765625,5.921875,-0.359375,-6.28125,0.0008132855774929768,-0.009403758719875834,0.0400390625,0.0068359375,0.048828125,0.0947265625,2,2,2
AAA,0,27,1.56640625,-0.58203125,-2.1484375,0.0025977474375720394,0.0135802312928613,0.056640625,5.939453125,-0.357421875,-6.296875,0.0009466206417690909,-0.012668176565360057,0.0576171875,0.0302734375,0.025390625,-0.0009765625,2,2,2
AAA,0,28,1.541015625,-0.587890625,-2.12890625,0.002002504991710851,0.009302325581395349,0.03125,5.9052734375,-0.3447265625,-6.25,0.0010057058672537033,-0.007086085313493771,0.0234375,0.0166015625,0.013671875,0.0078125,2,2,2
AAA,0,29,1.5234375,-0.59375,-2.1171875,0.0013118693590513041,0.005381860971227573,0.013671875,5.904296875,-0.361328125,-6.265625,0.0004111942191848074,-0.005920658619497094,0.0224609375,0.0166015625,0.03515625,-0.0087890625,2,2,2
AAA,0,30,1.517578125,-0.580078125,-2.09765625,0.0013774362886963946,0.0018882168855598011,0.0078125,5.9462890625,-0.3662109375,-6.3125,0.002012759738072873,-0.016671200580340953,0.064453125,0.0166015625,0.017578125,-0.056640625,2,2,2
AAA,0,31,1.53125,-0.58984375,-2.12109375,0.0012151876087201315,0.005957984327420267,0.021484375,5.8984375,-0.3515625,-6.25,0.0006178157816179329,-0.005051201592563538,0.0166015625,0.0166015625,0.021484375,0.0048828125,2,2,2
AAA,1,0,1.521484375,-0.591796875,-2.11328125,0.0018195368074274054,0.0019575963087616302,0.01171875,5.916015625,-0.349609375,-6.265625,0.0007182186471544644,-0.00842496056549502,0.0341796875,-0.0234375,0.03125,-0.0224609375,2,2,2
AAA,1,1,1.525390625,-0.591796875,-2.1171875,0.00128445557026359,0.0033390692613305666,0.015625,5.9228515625,-0.3583984375,-6.28125,0.0008427153811515805,-0.00958511526684718,0.041015625,0.0556640625,-0.013671875,-0.025390625,2,2,2
AAA,1,2,1.5625,-0.59375,-2.15625,0.002421911603339294,0.012854805104975917,0.052734375,5.875,-0.359375,-6.234375,0.0007769295041607771,0.0010508135739049017,-0.0068359375,-0.0244140625,0.04296875,0.0595703125,2,2,2
AAA,1,3,1.51171875,-0.59375,-2.10546875,0.0012529206586531145,0.0005813953488372093,0.001953125,5.9228515625,-0.3583984375,-6.28125,0.0018528202410552069,-0.009694456394294438,0.041015625,-0.0146484375,0.015625,-0.0390625,2,2,2
AAA,1,4,1.53125,-0.58203125,-2.11328125,0.0021277583666724498,0.007270077856787374,0.021484375,5.875,-0.359375,-6.234375,0.0008853875654318091,0.00017608455432683006,-0.0068359375,-0.0068359375,0.025390625,0.0283203125,2,2,2
AAA,1,5,1.560546875,-0.587890625,-2.1484375,0.0015224775379007827,0.011836045246349673,0.05078125,5.9150390625,-0.3505859375,-6.265625,0.0005094273787256465,-0.008134262891076414,0.033203125,0.0458984375,0.00390625,0.017578125,2,2,2
AAA,1,6,1.515625,-0.6015625,-2.1171875,0.0015212377869799417,0.00043209251714452016,0.005859375,5.9208984375,-0.3603515625,-6.28125,0.0008335684336948353,-0.00911306104545723,0.0390625,0.0078125,-0.0078125,-0.033203125,2,2,2
AAA,1,7,1.521484375,-0.583984375,-2.10546875,0.0014310184315456417,0.0030510075832342197,0.01171875,5.9306640625,-0.3505859375,-6.28125,0.00048750044089798883,-0.012785425681774088,0.048828125,0.001953125,0.017578125,-0.037109375,2,2,2
AAA,1,8,1.53515625,-0.5859375,-2.12109375,0.0018258833170091695,0.006027363750622095,0.025390625,5.90625,-0.359375,-6.265625,0.0008046742060161356,-0.006502053968334303,0.0244140625,0.0166015625,0.0625,0.0009765625,2,2,2
AAA,1,9,1.5,-0.59765625,-2.09765625,0.0015781102688372747,-0.0024696122343970104,-0.009765625,5.8955078125,-0.3544921875,-6.25,0.0005777591696107171,-0.004179108569307724,0.013671875,0.0166015625,-0.00390625,-0.0234375,2,2,2
AAA,1,10,1.501953125,-0.599609375,-2.1015625,0.0007900597245720982,-0.003637674924715945,-0.0078125,5.9072265625,-0.3583984375,-6.265625,0.0010479613701874974,-0.0050432936035967645,0.025390625,0.0087890625,0.048828125,-0.033203125,2,2,2
AAA,1,11,1.5390625,-0.58984375,-2.12890625,0.0014007068121615195,0.005659378664034888,0.029296875,5.904296875,-0.345703125,-6.25,0.001319403299726649,-0.005045929599919022,0.0224609375,0.0302734375,0.009765625,0.0068359375,2,2,2
AAA,1,12,1.5234375,-0.59765625,-2.12109375,0.0015286566583346136,0.003195038422282393,0.013671875,5.900390625,-0.349609375,-6.25,0.0015291855245256798,-0.005523255813953488,0.0185546875,0.0478515625,0.0234375,-0.0048828125,2,2,2
