layer,head,patched_logit_difference,indirect_effect,normalized_restoration,c_to_b_patched_logit_difference,c_to_b_indirect_effect,c_to_b_normalized_restoration,indirect_effect_difference_a_minus_c
0,0,2.1643614783653846,-0.0018013822115384615,-0.02095517090035016,2.1630288461538463,-0.003134014423076923,0.0015394857888987384,0.0013326322115384613
0,1,2.164490685096154,-0.0016721754807692308,-0.03779306007428652,2.1649849759615383,-0.0011778846153846158,-0.001109699266232572,-0.0004942908653846153
0,2,2.1640594951923076,-0.0021033653846153845,-0.0702836664234677,2.164465144230769,-0.0016977163461538453,-0.0019635962544153024,-0.00040564903846153805
0,3,2.169923377403846,0.003760516826923077,-0.12779796575151112,2.170294471153846,0.004131610576923077,-0.004387609094252396,-0.00037109375000000006
0,4,2.166712740384616,0.0005498798076923082,-0.04475702654981702,2.1655003004807694,-0.0006625600961538458,0.0016169320415618039,0.0012124399038461538
0,5,2.16408203125,-0.002080829326923077,-0.05802018835536585,2.164262319711539,-0.0019005408653846158,0.0007012136828508424,-0.0001802884615384619
0,6,2.1676727764423074,0.0015099158653846159,-0.02188419399961465,2.165270432692308,-0.0008924278846153847,-0.0010294401385731165,0.0024023437499999995
0,7,2.1666676682692305,0.0005048076923076923,-0.046049313507672045,2.1638311298076927,-0.002331730769230769,0.0014557781296407216,0.0028365384615384615
0,8,2.1627208533653848,-0.0034420072115384616,-0.04051646439997179,2.1650165264423076,-0.0011463341346153847,0.0011747279121588161,-0.0022956730769230767
0,9,2.1656881009615385,-0.0004747596153846156,-0.04352446523134397,2.1642052283653848,-0.0019576322115384616,0.0016936496009529259,0.0014828725961538462
0,10,2.164657451923077,-0.0015054086538461536,-0.014154044810879023,2.163805588942308,-0.0023572716346153847,0.0016487123667844918,0.0008518629807692307
0,11,2.167548076923077,0.0013852163461538461,-0.036164641346061815,2.163740985576923,-0.002421875000000001,0.00032462281105750756,0.003807091346153846
0,12,2.1644771634615387,-0.0016856971153846152,-0.03617336202418385,2.166335637019231,0.00017277644230769248,-0.001360302205614794,-0.0018584735576923077
0,13,2.164972956730769,-0.0011899038461538462,-0.02346570082602546,2.164679987980769,-0.0014828725961538462,0.0005536327233843704,0.0002929687500000001
0,14,2.1639678485576925,-0.0021950120192307694,-0.049137817134869415,2.165615985576923,-0.000546875,0.0011389594258031553,-0.0016481370192307691
0,15,2.1662830528846153,0.00012019230769230759,-0.030246086789105647,2.1655258413461542,-0.0006370192307692307,0.0004316495530493562,0.0007572115384615386
0,16,2.1648873197115384,-0.001275540865384615,-0.03176167111997137,2.1638356370192313,-0.0023272235576923075,-0.0010748008165067863,0.0010516826923076923
