source_layer,source_head,observation_layer,T_AC,T_CA,T_residual,delta_norm_AC,delta_norm_CA,direction_norm_AC,direction_norm_CA,dot_product_AC,dot_product_CA,pair_count
1,0,1,0.14876772286370396,0.1476738322991878,0.14822077758144586,0.07210711585066747,0.07315501564589795,0.23403372666798533,0.23403372666798533,0.008433118123866734,0.008440737829550926,80
1,0,2,0.04271097127348185,0.043295633909292516,0.04300330259138718,0.10533222413505428,0.11061288443743252,0.5577857617288828,0.5577857617288828,0.015041207415924874,0.015963089252181817,80
1,0,3,0.036668864369858056,0.03594721834888333,0.03630804135937069,0.12668935891706495,0.13060099196154623,0.7081941533833742,0.7081941533833742,0.021044044027803466,0.020895242770347978,80
1,0,4,0.018232785865257027,0.02036008952272823,0.019296437693992627,0.15332099206279964,0.1561469957465306,1.2745264522731303,1.2745264522731303,0.030935887020314114,0.03566427488258341,80
1,0,5,0.010118663118737459,0.011725387063216885,0.010922025090977172,0.16830853729043155,0.1659814785933122,1.782520542293787,1.782520542293787,0.03543360473049688,0.03984687505144393,80
1,0,6,0.008575674603162043,0.009431149478365342,0.009003412040763693,0.18327457341365516,0.17616364788264036,2.146780903637409,2.146780903637409,0.044823957676999274,0.045746155933011325,80
1,0,7,0.0047203629692376126,0.00600198346628531,0.005361173217761461,0.19208589429035783,0.18118364801630377,2.5890496253967283,2.5890496253967283,0.037415599112864587,0.04183216605888447,80
1,0,8,0.003269090345611403,0.003910439106152808,0.0035897647258821054,0.20364529746584595,0.18795155328698457,3.1820294074714184,3.1820294074714184,0.03755489881004905,0.03972077097860165,80
1,0,9,0.0027234239749304836,0.0024305623944201214,0.0025769931846753025,0.21052037365734577,0.18934615319594741,3.65731797888875,3.65731797888875,0.03919480781187303,0.032302221888676284,80
1,0,10,0.002215048691618904,0.0019654435453958286,0.0020902461185073663,0.2156545420177281,0.19050232395529748,4.079321677982807,4.079321677982807,0.04062003959843423,0.035838289762614293,80
1,0,11,0.001622472417238896,0.0017661055904909517,0.0016942890038649239,0.21824375679716468,0.1912927688099444,4.305608528852463,4.305608528852463,0.04238767259812448,0.03367126414377708,80
1,0,12,0.0013561575400672155,0.001564705701548519,0.0014604316208078672,0.2248410176485777,0.19425242533907294,4.483968356251717,4.483968356251717,0.040987751056673,0.040160753883537834,80
1,0,13,0.0010824553581187501,0.0008861266435815196,0.0009842910008501348,0.22916833981871604,0.19410182815045118,4.7597724661231045,4.7597724661231045,0.04067344833165407,0.024122861833893693,80
1,0,14,0.0010065056329949585,0.0005397015368544089,0.0007731035849246837,0.23629357246682048,0.1963406739756465,4.964249950647354,4.964249950647354,0.04135484142025234,0.014635142631595955,80
1,0,15,0.0006132765580332489,0.00022665701271762373,0.0004199667853754363,0.24584553074091672,0.2001899261958897,5.346986001729965,5.346986001729965,0.03677700651169289,0.006366471448563971,80
1,0,16,0.00022953994157433045,0.00012156909390341753,0.00017555451773887398,0.25207140278071166,0.20329732801765205,5.762237766385079,5.762237766385079,0.01646013665013015,0.002670513285556808,80
1,0,17,0.0003192511080612803,0.00016457953547615033,0.00024191532176871531,0.26856085294857623,0.21321272598579527,6.37663821876049,6.37663821876049,0.02839235821738839,-0.0007091139908879995,80
1,0,18,-1.1946484664804303e-05,0.0003535855279722,0.00017081952165369784,0.2919262735173106,0.2291591045446694,7.225511041283608,7.225511041283608,0.026116355753038077,0.014466158457798884,80
1,0,19,0.005866410590715532,0.006782040594862338,0.006324225592788935,0.3167966028675437,0.2455278044566512,7.939275509130676,7.939275509130676,0.026671049545984715,0.007464286976028234,80
1,0,20,0.006842492920259247,0.005897773556125685,0.006370133238192466,0.3451976114884019,0.26415569335222244,8.610195482568816,8.610195482568816,0.03300136819016188,-0.004134597643860616,80
1,0,21,0.017054990292990624,0.00816425445123059,0.012609622372110607,0.3781175272539258,0.2879150265827775,9.534200444957241,9.534200444957241,0.03809779224393424,-0.007060223152802791,80
1,0,22,0.014406479371223213,0.010813016959585298,0.012609748165404257,0.42463823202997447,0.32341154776513575,11.093630804494023,11.093630804494023,0.06278768499032594,0.0019322158623253927,80
1,0,23,0.01428621636778189,0.010833539688553629,0.01255987802816776,0.46930897459387777,0.3562789933755994,12.44302473505959,12.44302473505959,0.06890292295720428,0.019617055720300414,80
1,0,24,0.013078007544118008,0.012034105860129785,0.012556056702123897,0.517720279097557,0.3928750304505229,13.962719902954996,13.962719902954996,0.0791780803934671,0.03888042597100139,80
1,0,25,0.014230831087650131,0.010910952623044068,0.0125708918553471,0.562206462211907,0.42730932757258416,15.113948479294777,15.113948479294777,0.11605671038851142,0.05876758160302416,80
1,0,26,0.013992694536864293,0.011132868306958699,0.012562781421911496,0.6115097839385271,0.46717924624681473,16.281091938354074,16.281091938354074,0.08802429740317166,0.07287560942349955,80
1,0,27,0.012681674328541703,0.012599442065584299,0.012640558197063001,0.6696263786405325,0.509892913326621,17.51771710291505,17.51771710291505,0.10057172465603799,0.11927288377191872,80
1,0,28,0.01314572582728033,0.012048565788609267,0.012597145807944798,0.7306209240108729,0.5613119896501303,18.929197051003577,18.929197051003577,0.04634322081692517,0.10202658157795667,80
1,0,29,0.012924371640019671,0.012131342415705149,0.01252785702786241,0.8047662232071161,0.6245102912187577,20.682451469451188,20.682451469451188,-0.010501265060156584,0.09823453933931887,80
1,0,30,0.012619518701058041,0.012528298517304392,0.012573908609181218,0.8927469953894616,0.6993642799556256,23.067972473055125,23.067972473055125,-0.06027336441911757,0.1372806582134217,80
1,0,31,0.01242903741435839,0.012626635451488255,0.012527836432923323,1.0248283125460147,0.8061927698552609,26.091784757748247,26.091784757748247,-0.037827734183520076,0.11846218602731824,80
1,0,32,0.011829666499215819,0.012911081238144106,0.012370373868679962,1.4626522094011307,1.103237187117338,37.131452564150095,37.131452564150095,0.5708764765411616,0.6545225087553262,80
1,1,1,0.04013963699617307,0.0410257913694295,0.04058271418280128,0.041397649989812636,0.0411182804586133,0.23403372666798533,0.23403372666798533,0.0019001737307235088,0.0020112321948886347,80
1,1,2,0.008491168395630666,0.009583772768837661,0.009037470582234162,0.05050189680187032,0.05001077312044799,0.5577857617288828,0.5577857617288828,0.0028107393990467245,0.0034467572682842728,80
1,1,3,0.007373029008969212,0.008048868873248693,0.0077109489411089525,0.061448835069313645,0.060400876577477905,0.7081941533833742,0.7081941533833742,0.0038383320356842887,0.004364106622460895,80
1,1,4,0.0031088765752883773,0.005141108153020468,0.004124992364154423,0.07642756125424058,0.07622470178175718,1.2745264522731303,1.2745264522731303,0.005909801772213541,0.009584453775096336,80
1,1,5,0.0005698146226677636,0.00282802594616669,0.0016989202844172268,0.0848917513852939,0.08440080143045633,1.782520542293787,1.782520542293787,0.0047439902598853225,0.011770288123079809,80
1,1,6,0.0004999657178814231,0.002694345022109701,0.0015971553699955622,0.0935463773086667,0.09285343224182725,2.146780903637409,2.146780903637409,0.005383502745098667,0.015503044417710044,80
1,1,7,9.818018763780856e-05,0.0021039607599050215,0.0011010704737714151,0.10039214706048369,0.09916489305905998,2.5890496253967283,2.5890496253967283,0.006160194652329665,0.01683386143631651,80
1,1,8,-4.6119750504658444e-05,0.001449181171597047,0.0007015307105461943,0.10979897240176797,0.10650310292840004,3.1820294074714184,3.1820294074714184,0.005033931680372916,0.017055164271732794,80
1,1,9,0.0002905593883781421,0.0010709104448721972,0.0006807349166251697,0.11830969974398613,0.11161615690216423,3.65731797888875,3.65731797888875,0.00503560436409316,0.015836862035212108,80
1,1,10,0.0005023224073738674,0.0012476395352678082,0.0008749809713208378,0.12717467453330755,0.11671363059431314,4.079321677982807,4.079321677982807,0.00596311307454016,0.023057624795183074,80
1,1,11,0.0002632495052239392,0.001372661350501403,0.0008179554278626711,0.1314759342931211,0.1203001381829381,4.305608528852463,4.305608528852463,0.003193563161767088,0.026362266024807467,80
1,1,12,0.0004101416617231735,0.0011940719842414183,0.0008021068229822959,0.13754099709913134,0.12507121320813894,4.483968356251717,4.483968356251717,0.006168324797181412,0.02997968366544228,80
1,1,13,0.0006451069673403254,0.0009573656190241308,0.0008012362931822282,0.1435211068019271,0.12810987178236247,4.7597724661231045,4.7597724661231045,0.013220801274292171,0.026694054875406437,80
1,1,14,0.0005936627791015781,0.0007348935157097003,0.0006642781474056393,0.1506144088692963,0.13265491342172026,4.964249950647354,4.964249950647354,0.014731333681265824,0.022682289200020023,80
1,1,15,0.0006421029169359826,0.0006087285095645711,0.0006254157132502768,0.1595578865148127,0.14023144925013184,5.346986001729965,5.346986001729965,0.020621746219694613,0.024542406265391038,80
1,1,16,0.00021553993524321414,0.0004960970027468647,0.00035581846899503946,0.16747723510488868,0.14575212514027952,5.762237766385079,5.762237766385079,0.006153229635674507,0.021683281470905057,80
1,1,17,0.0002264080552777159,0.00060053530633013,0.00041347168080392295,0.1800796940922737,0.1563242856413126,6.37663821876049,6.37663821876049,0.0050130808027461175,0.025726493704132734,80
1,1,18,-0.0001281516743802058,0.0007938078892038902,0.0003328281074118422,0.19704956440255045,0.1702425549738109,7.225511041283608,7.225511041283608,-0.017043113056570292,0.048207704880042,80
1,1,19,0.008275907970948992,0.004725296163633175,0.006500602067291084,0.2133619443513453,0.1847838462330401,7.939275509130676,7.939275509130676,-0.030196044815238566,0.059358913594041954,80
1,1,20,0.005992564297184799,0.007089134978377843,0.00654084963778132,0.2326591605320573,0.20026248507201672,8.610195482568816,8.610195482568816,-0.027170859967009166,0.05900973277748563,80
1,1,21,0.015793890293477376,0.009859649554255157,0.012826769923866266,0.25551792196929457,0.22017938941717147,9.534200444957241,9.534200444957241,-0.023253849151660688,0.07927514004986733,80
1,1,22,0.01311000578942867,0.012331165888798522,0.012720585839113596,0.29083946738392114,0.2496611375361681,11.093630804494023,11.093630804494023,-0.043233539699576794,0.09091432499990333,80
1,1,23,0.013422887717752019,0.011900298786008534,0.012661593251880276,0.3232553280889988,0.27614243533462285,12.44302473505959,12.44302473505959,-0.04941282452782616,0.10746960334072356,80
1,1,24,0.01224293401166392,0.013057702844935192,0.012650318428299556,0.36017506700009105,0.30590958558022974,13.962719902954996,13.962719902954996,-0.01788146691978909,0.09952468094415963,80
1,1,25,0.013929674526843882,0.0114215621214953,0.01267561832416959,0.3927713742479682,0.3351290913298726,15.113948479294777,15.113948479294777,0.003571581223513931,0.11624122018693014,80
1,1,26,0.014080458483658732,0.01131279212111167,0.0126966253023852,0.42992184292525054,0.37084191050380466,16.281091938354074,16.281091938354074,-0.015568712702952325,0.12640353391179815,80
