ABBR,layer,head,ac_answer_logprob_diff,ac_primary_lp,ac_alt_lp,ac_kl_div,ac_normalized,ac_ie,ca_answer_logprob_diff,ca_primary_lp,ca_alt_lp,ca_kl_div,ca_normalized,ca_ie,aa_ie,cc_ie,bidirectional_ie,ac_count,ca_count,bie_count
ACL,0,20,-0.6953125,-1.01171875,-0.31640625,0.00478024756613744,-0.003630169528555052,-0.0048828125,1.724609375,-0.759765625,-2.484375,0.0018572391990598217,0.003677878635927524,-0.01171875,-0.001953125,0.0068359375,0.0068359375,2,2,2
ACL,0,21,-0.666015625,-0.998046875,-0.33203125,0.0026028920413914756,0.009657639445495142,0.0244140625,1.75,-0.7421875,-2.4921875,0.0016750285518020939,-0.006235086791092019,0.013671875,0.00390625,-0.0107421875,0.0107421875,2,2,2
ACL,0,22,-0.69482421875,-1.01171875,-0.31689453125,0.003758217941553508,-0.001814097679297406,-0.00439453125,1.732421875,-0.744140625,-2.4765625,0.0022716634370478113,0.00020268144925132854,-0.00390625,-0.009765625,0.0009765625,-0.00048828125,2,2,2
ACL,0,23,-0.671875,-1.0,-0.328125,0.003553029918223683,0.006897749841079318,0.0185546875,1.740234375,-0.744140625,-2.484375,0.0023190029871120784,-0.0026585488797901593,0.00390625,-0.01171875,-0.001953125,0.0146484375,2,2,2
ACL,0,24,-0.6630859375,-0.982421875,-0.3193359375,0.00890781898953533,0.009298011484404716,0.02734375,1.71875,-0.7421875,-2.4609375,0.003877944765283607,0.00602845700192021,-0.017578125,-0.005859375,0.0009765625,0.044921875,2,2,2
ACL,0,25,-0.681640625,-1.0,-0.318359375,0.003308099253959084,0.002604917262536966,0.0087890625,1.728515625,-0.740234375,-2.46875,0.0019506892129574022,0.002042607852195211,-0.0078125,0.0078125,0.01171875,0.0166015625,2,2,2
ACL,0,26,-0.697265625,-1.015625,-0.318359375,0.00445928456611708,-0.004345477110815424,-0.0068359375,1.724609375,-0.744140625,-2.46875,0.0020892743884925844,0.00470115673198537,-0.01171875,-0.013671875,-0.005859375,0.0048828125,2,2,2
ACL,0,27,-0.68359375,-1.009765625,-0.326171875,0.0016371274150970576,0.0016849540610650252,0.0068359375,1.740234375,-0.744140625,-2.484375,0.0024084888113751176,-0.0026585488797901593,0.00390625,-0.0078125,0.009765625,0.0029296875,2,2,2
ACL,0,28,-0.689453125,-1.00390625,-0.314453125,0.005773222777104067,-0.00046096868571609065,0.0009765625,1.728515625,-0.740234375,-2.46875,0.001184978045616933,0.002861230329041488,-0.0078125,-0.001953125,0.0009765625,0.0087890625,2,2,2
ACL,0,29,-0.69873046875,-1.01171875,-0.31298828125,0.004703190396183056,-0.0036540240822412885,-0.00830078125,1.75,-0.7421875,-2.4921875,0.0017882504218430688,-0.006235086791092019,0.013671875,-0.009765625,0.0009765625,-0.02197265625,2,2,2
ACL,0,30,-0.701171875,-1.01171875,-0.310546875,0.003740834230405529,-0.005878420084941953,-0.0107421875,1.7421875,-0.7421875,-2.484375,0.0019085911760507298,-0.0033738564620505312,0.005859375,0.0078125,0.0009765625,-0.0166015625,2,2,2
ACL,0,31,-0.6923828125,-1.01171875,-0.3193359375,0.002481418387003516,-0.0010222910110777258,-0.001953125,1.734375,-0.75,-2.484375,0.002415058487835376,0.00010134072462566427,-0.001953125,-0.001953125,0.0009765625,0.0,2,2,2
ACL,1,0,-0.70947265625,-1.025390625,-0.31591796875,0.002718850200054119,-0.008713821690336965,-0.01904296875,1.720703125,-0.740234375,-2.4609375,0.0012047302085593486,0.005722460658082976,-0.015625,-0.0078125,-0.0146484375,-0.00341796875,2,2,2
ACL,1,1,-0.6953125,-1.015625,-0.3203125,0.0028184395213414638,-0.0030162026709203453,-0.0048828125,1.736328125,-0.740234375,-2.4765625,0.0018375486590203128,-0.0008186224768462766,0.0,-0.005859375,0.0,-0.0048828125,2,2,2
ACL,1,2,-0.673828125,-1.0,-0.326171875,0.00481383976177338,0.005875458830001593,0.0166015625,1.728515625,-0.740234375,-2.46875,0.0010767607097690295,0.002042607852195211,-0.0078125,-0.01171875,0.0029296875,0.0244140625,2,2,2
ACL,1,3,-0.6806640625,-1.0,-0.3193359375,0.002378162286725136,0.0026555876248497987,0.009765625,1.734375,-0.734375,-2.46875,0.0021013898001634897,0.00010134072462566427,-0.001953125,-0.013671875,-0.00390625,0.01171875,2,2,2
ACL,1,4,-0.6669921875,-0.998046875,-0.3310546875,0.0026151550221396825,0.00919765784475917,0.0234375,1.71875,-0.75,-2.46875,0.0004570240871860096,0.006437768240343348,-0.017578125,0.001953125,0.001953125,0.041015625,2,2,2
ACL,1,5,-0.6826171875,-1.0078125,-0.3251953125,0.0032670893792640858,0.0017356244233778578,0.0078125,1.74609375,-0.74609375,-2.4921875,0.0015948695435964405,-0.005418438484205982,0.009765625,0.00390625,0.0185546875,-0.001953125,2,2,2
ACL,1,6,-0.6630859375,-1.0,-0.3369140625,0.001558889614375099,0.011037584247703052,0.02734375,1.71875,-0.75,-2.46875,0.0005555242912871287,0.006437768240343348,-0.017578125,-0.0078125,-0.009765625,0.044921875,2,2,2
ACL,1,7,-0.6923828125,-1.01171875,-0.3193359375,0.002554067354879814,-0.001636257868712433,-0.001953125,1.716796875,-0.759765625,-2.4765625,0.0019737024054130125,0.0073577314418152885,-0.01953125,-0.015625,0.0087890625,0.017578125,2,2,2
ACL,1,8,-0.6982421875,-1.01953125,-0.3212890625,0.001968722292591379,-0.0036798528058877645,-0.0078125,1.7109375,-0.7578125,-2.46875,0.001772490694676442,0.010322276665442682,-0.025390625,-0.00390625,0.0107421875,0.017578125,2,2,2
ACL,1,9,-0.671875,-1.0,-0.328125,0.0014737747685032838,0.006897749841079318,0.0185546875,1.73828125,-0.75390625,-2.4921875,0.0017584357507087452,-0.0019432412975297873,0.001953125,-0.00390625,-0.001953125,0.0166015625,2,2,2
ACL,1,10,-0.6845703125,-1.01171875,-0.3271484375,0.002158612980191436,0.0026575617948100387,0.005859375,1.71484375,-0.74609375,-2.4609375,0.00178289383696014,0.009300972739345076,-0.021484375,-0.015625,0.017578125,0.02734375,2,2,2
ACL,1,11,-0.6640625,-0.99609375,-0.33203125,0.002885149886716393,0.010168291408543945,0.0263671875,1.744140625,-0.740234375,-2.484375,0.0010760556077812214,-0.0036798528058877645,0.0078125,-0.01953125,-0.0107421875,0.0185546875,2,2,2
ACL,1,12,-0.6845703125,-1.00390625,-0.3193359375,0.0018894425980129762,0.0022482505563869003,0.005859375,1.736328125,-0.740234375,-2.4765625,0.0010905690472937752,-0.0008186224768462766,0.0,-0.0078125,0.01953125,0.005859375,2,2,2
ACL,1,13,-0.6826171875,-1.0078125,-0.3251953125,0.0042029180870528735,0.002042607852195211,0.0078125,1.7109375,-0.75,-2.4609375,0.0005257575414440743,0.009298998569384835,-0.025390625,-0.009765625,0.00390625,0.033203125,2,2,2
ACL,1,14,-0.677734375,-1.0078125,-0.330078125,0.0017071952179821123,0.00403553242705771,0.0126953125,1.72265625,-0.76171875,-2.484375,0.0010668279403964042,0.004802497456611035,-0.013671875,-0.009765625,-0.0029296875,0.0263671875,2,2,2
ACL,1,15,-0.650390625,-0.99609375,-0.345703125,0.00426414846715487,0.015994066961212826,0.0400390625,1.73046875,-0.74609375,-2.4765625,0.0015190378781654254,0.0011226446507232703,-0.005859375,-0.01171875,0.0302734375,0.0458984375,2,2,2
ACL,1,16,-0.65625,-0.9921875,-0.3359375,0.003393217793947422,0.013234177356797001,0.0341796875,1.734375,-0.7421875,-2.4765625,0.001882434936495617,-0.00010331489458590467,-0.001953125,-0.00390625,0.01171875,0.0361328125,2,2,2
ACL,1,17,-0.697265625,-1.01171875,-0.314453125,0.003209023274891677,-0.0037315102531807172,-0.0068359375,1.720703125,-0.748046875,-2.46875,0.0005053404976134491,0.005722460658082976,-0.015625,0.0078125,0.0107421875,0.0087890625,2,2,2
ACL,1,18,-0.65234375,-1.0,-0.34765625,0.004787284823146445,0.015585742807769807,0.0380859375,1.732421875,-0.744140625,-2.4765625,0.001297456263043441,0.0012259595453091748,-0.00390625,-0.009765625,0.0029296875,0.0419921875,2,2,2
ACL,1,19,-0.6875,-1.005859375,-0.318359375,0.0023393407601332546,0.00045899451575585025,0.0029296875,1.732421875,-0.744140625,-2.4765625,0.002558706432788698,0.0010213039260976056,-0.00390625,-0.001953125,-0.0146484375,0.0068359375,2,2,2
ACL,1,20,-0.701171875,-1.01171875,-0.310546875,0.003542566587478047,-0.005162125417701461,-0.0107421875,1.732421875,-0.744140625,-2.4765625,0.003188264489889959,0.0010213039260976056,-0.00390625,0.0,0.015625,-0.0068359375,2,2,2
