source_layer,source_head,downstream_layer_count,M_plus_AC,M_plus_CA,M_plus_residual,I_AC,I_CA,I_residual
1,0,31,0.01002750519000195,0.009422737257890668,0.009724928538709779,0.14876772286370396,0.1476738322991878,0.14822077758144586
1,1,31,0.006313514870222537,0.006462363873701024,0.0063851285425281555,0.04013963699617307,0.0410257913694295,0.04058271418280128
1,2,31,0.020477114785965967,0.018562544292662568,0.01951982953931427,0.37666162647074086,0.37597373986500315,0.376317683167872
1,3,31,0.005678029969110577,0.005265410624224753,0.005443920179838218,-0.0013880925743990247,-0.002405593578987464,-0.0018968430766932443
1,4,31,0.0057520432902426295,0.005378679680595338,0.005549123283648736,0.0004977869064532569,1.924142316056532e-06,0.00024985552438465674
1,5,31,0.005183172606889237,0.005518768138751218,0.005310755410396546,-0.0007723917918838197,-0.0005346777020690752,-0.0006535347469764474
1,6,31,0.006359578035745344,0.005741387218887944,0.006050482627316642,0.007630586126640537,0.008494111806740534,0.008062348966690535
1,7,31,0.006533850442066317,0.005630890153788056,0.006082370297927185,0.010822343927702604,0.010356419223171542,0.010589381575437073
1,8,31,0.005478018068735888,0.005002852299757876,0.005187736204545384,-0.039359913004227566,-0.03842819591372972,-0.038894054458978644
1,9,31,0.006326065838667528,0.006027583528408592,0.006173260716226659,0.0221296709998569,0.022261110459658083,0.022195390729757493
1,10,31,0.005949533502429693,0.005165385995626909,0.00552991379424683,-0.005856750415659917,-0.00482765169049344,-0.005342201053076678
1,11,31,0.016020251694546475,0.011841546310468463,0.013930899002507468,0.20605056806234642,0.20524801005376503,0.20564928905805574
1,12,31,0.00593337951172252,0.0055527057282686865,0.005722408791834642,0.006787224527658964,0.0074894156137702336,0.007138320070714599
1,13,31,0.0057205750397386155,0.005438121510638459,0.0055572575482353915,0.0003856850400097755,0.00021970048700836742,0.00030269276350907147
1,14,31,0.005939743479528257,0.005444713579711351,0.005689247270945738,0.00011449735224573487,0.00012167292832145903,0.00011808514028359695
1,15,31,0.006493858095397201,0.006708114862309898,0.006595192474673667,0.02684708492088248,0.025214557409708505,0.026030821165295495
1,16,31,0.0052235058118389405,0.005767799504057792,0.005463055801997027,8.11066006690453e-05,0.00018025777444563573,0.0001306821875573405
1,17,31,0.00659649485692776,0.006417224389769117,0.006506859623348439,0.02859113687045465,0.030457208632105902,0.029524172751280275
1,18,31,0.005960308728486044,0.005280282471675852,0.005620295600080948,0.00021770932480649207,0.00037354171249717185,0.000295625518651832
1,19,31,0.005575790523053329,0.0052190404876437555,0.005371293484818691,-0.0002973688787506035,-0.00028779229432416285,-0.0002925805865373832
1,20,31,0.005650926751015794,0.005651420377415295,0.0056496667791677176,0.003930087450726205,0.0038803652782007703,0.0039052263644634875
1,21,31,0.005859728648058187,0.005323755145725119,0.005576200503555372,0.002729981397845904,0.0019123744396893016,0.0023211779187676026
1,22,31,0.0057209167812325695,0.005290516243817979,0.005483840785248146,-0.0005677440351973928,-0.00038053388889238706,-0.0004741389620448899
1,23,31,0.006103412320459072,0.005061678750516491,0.005569932362339014,0.00925116147755034,0.006531515528604359,0.00789133850307735
1,24,31,0.00898516623780803,0.009559898028965933,0.009272532133386979,0.08560901078417374,0.08323716266531847,0.0844230867247461
1,25,31,0.005766870773964908,0.005316758940318502,0.005513475270404108,-0.00291004227447047,-0.0036164655215543463,-0.003263253898012408
1,26,31,0.006752666106991096,0.005942952657629897,0.006347809382310495,0.005782748500996604,0.0027834555051867937,0.004283102003091699
1,27,31,0.005516799461555464,0.00535871321499497,0.005378791349487749,-0.0006816783936301363,8.697287044014956e-05,-0.00029735276159499336
1,28,31,0.005837455323064073,0.005329762865300924,0.005574646113220825,0.005344370758189143,0.006312377696303884,0.005828374227246513
1,29,31,0.005461751953350079,0.0055637196958217274,0.0055018953896144975,0.00039580355683028757,0.0003950377261048743,0.00039542064146758094
1,30,31,0.00592139875925481,0.005312739964183572,0.005612124720491514,0.0004119032582366344,0.00045898727449298347,0.0004354452663648089
1,31,31,0.005807941918114938,0.005318691715397033,0.00554627688644043,0.00045895833795270844,0.0004827061481989858,0.0004708322430758471
2,0,30,0.006560660073302773,0.0059038304401208795,0.006232245256711826,0.003913873228839293,0.0037389285899735113,0.0038264009094064024
2,1,30,0.006212119183847888,0.005949630355906948,0.006068432630492785,0.0075325070221879285,0.007164210102928337,0.007348358562558133
2,2,30,0.005607605935688962,0.005628218805871796,0.005588828807004209,-0.0008582592449783988,-0.0012064323060371862,-0.0010323457755077926
2,3,30,0.00817999188618477,0.007369292653247187,0.007774642269715979,0.024794420350553993,0.024575017369897978,0.024684718860225986
2,4,30,0.006444151144630249,0.0060769616570624406,0.006259460833902703,0.0081961857738861,0.008115676516536042,0.00815593114521107
2,5,30,0.005616703997751291,0.006024146747551685,0.005807827225006062,0.0010527952810207354,0.0010252546769436322,0.0010390249789821839
