ABBR,sentence_a,sentence_b,sentence_c,total_effect_a_minus_b,row_count
AAA,4.858203125,4.672265625,0.7609375,0.18593750000000053,5
ABG,3.2171875,1.9375,-2.315625,1.2796875,5
ABR,1.490234375,0.779296875,-0.422265625,0.7109375,5
ACL,2.398828125,1.94765625,-1.308984375,0.451171875,5
ADA,3.0359375,2.4736328125,-0.496875,0.5623046875000002,5
ADL,1.972265625,1.407421875,0.20703125,0.5648437499999999,5
AFB,1.8609375,1.44296875,-1.49140625,0.41796875,5
AFP,2.3546875,1.763671875,-1.210546875,0.5910156249999998,5
AGA,3.8359375,3.378125,-2.5203125,0.4578125000000002,5
AICD,1.446875,0.8328125,-1.4302734375,0.6140625,5
ALD,2.41015625,1.75,-2.88515625,0.66015625,5
ALS,4.615234375,3.4328125,-0.4890625,1.1824218750000002,5
AMA,3.46953125,1.8328125,-0.98046875,1.6367187500000002,5
AML,2.398046875,2.444921875,-1.0078125,-0.046875,5
ANA,4.0703125,2.28359375,-0.70078125,1.78671875,5
ANCA,0.39375,-0.03515625,-0.4529296875,0.42890625,5
ANC,3.825,2.35078125,-1.2625,1.4742187500000004,5
ASA,0.99921875,0.33046875,-0.98671875,0.6687500000000001,5
ASD,3.10078125,2.14375,-0.52109375,0.95703125,5
AVF,6.8046875,4.4890625,0.49609375,2.315625,5
AVR,4.82265625,3.18046875,-0.70703125,1.6421874999999995,5
BAL,4.537890625,4.253125,-0.0640625,0.28476562500000036,5
BMI,1.55078125,1.21171875,-1.9546875,0.33906250000000004,5
BMT,-0.603125,-0.5328125,-1.673828125,-0.0703125,5
CDI,4.6625,2.175,-2.468359375,2.4875,5
CEA,1.956640625,1.323046875,-0.4078125,0.63359375,5
CHF,1.74296875,0.972265625,-0.36875,0.7707031249999999,5
CIC,1.896875,0.38125,-3.23046875,1.515625,5
CML,3.03046875,2.303125,-0.45859375,0.7273437499999997,5
CMS,8.6421875,7.067578125,0.8421875,1.5746093750000005,5
CMV,6.1046875,4.728125,0.175,1.3765624999999995,5
CNS,-0.271875,-0.0296875,-2.3638671875,-0.24218749999999997,5
CPR,3.100390625,3.1615234375,-0.421875,-0.06113281249999991,5
CRP,4.8296875,3.89765625,-0.4265625,0.9320312500000005,5
CSA,2.9546875,1.640625,-2.8171875,1.3140625,5
CSF,2.487890625,1.8703125,-0.73671875,0.6175781249999999,5
CTA,5.13125,4.091796875,-1.071875,1.0394531249999996,5
CVA,3.4140625,2.6578125,-1.8859375,0.7562500000000001,5
CVI,3.390625,2.34453125,-0.76796875,1.0460937499999998,5
CVS,6.11171875,4.33828125,1.32578125,1.7734375,5
DIC,5.9255859375,4.5904296875,0.61328125,1.3351562499999998,5
DIP,2.6734375,2.040234375,-0.7630859375,0.6332031250000001,5
DLCO,0.6984375,0.32421875,-0.3453125,0.37421875000000004,5
DNR,3.35,1.9359375,-1.275,1.4140625,5
DWI,4.434375,3.7734375,-0.29296875,0.6609375000000002,5
EBL,1.83125,0.92109375,-3.16015625,0.91015625,5
ECG,1.12578125,0.69921875,-0.344140625,0.42656249999999996,5
ECT,3.184375,2.887109375,-1.33046875,0.2972656250000001,5
EDD,1.103125,0.12890625,-0.4796875,0.9742187499999999,5
EHL,2.1890625,1.35,-0.53046875,0.8390624999999998,5
EKG,1.06171875,0.7203125,-0.29296875,0.34140625,5
EMS,1.737890625,1.134375,-2.7052734375,0.603515625,5
EPO,2.371484375,1.78125,-0.8125,0.5902343750000001,5
ERCP,0.5224609375,0.2861328125,-0.34169921875,0.236328125,5
ESR,0.6078125,0.22265625,-2.14453125,0.38515625,5
FFP,6.0828125,5.071875,-1.79765625,1.0109374999999998,5
GCT,-1.4,-2.6546875,-4.396875,1.2546875000000002,5
GGT,0.4484375,0.1546875,-0.3107421875,0.29374999999999996,5
GTT,0.7765625,0.703125,-2.471484375,0.07343750000000004,5
GVHD,1.487890625,0.79609375,-0.409375,0.6917968749999999,5
GVH,1.559765625,0.99375,-0.2953125,0.566015625,5
HCT,2.1923828125,1.6119140625,-0.7078125,0.5804687500000001,5
HIV,0.6984375,-0.475,-1.6109375,1.1734375,5
HPV,2.119921875,2.105078125,-0.53515625,0.014843750000000266,5
HSV,5.403125,4.3796875,-0.8796875,1.0234375,5
ICA,3.596875,3.45,-0.6015625,0.14687499999999964,5
ICD,3.70703125,2.8734375,-0.165625,0.8335937499999999,5
INH,0.18515625,0.0953125,-0.733203125,0.08984375,5
